Genotype,Time,bio_rep,Temperature.C.,Day,quant_files,Diel
Nipponbare,1,brep1,27,1,A1_quant,Dusk
Nipponbare,1,brep2,27,1,A2_quant,Dusk
Nipponbare,1,brep3,27,1,A3_quant,Dusk
Nipponbare,2,brep1,21,1,A4_quant,Dawn
Nipponbare,2,brep2,21,1,A5_quant,Dawn
Nipponbare,2,brep3,21,1,A6_quant,Dawn
Nipponbare,3,brep1,35,2,A7_quant,Dusk
Nipponbare,3,brep2,35,2,A8_quant,Dusk
Nipponbare,3,brep3,35,2,A9_quant,Dusk
Nipponbare,4,brep1,27,2,A10_quant,Dawn
Nipponbare,4,brep2,27,2,A11_quant,Dawn
Nipponbare,4,brep3,27,2,A12_quant,Dawn
Nipponbare,5,brep1,27,4,A13_quant,Dusk
Nipponbare,5,brep2,27,4,A14_quant,Dusk
Nipponbare,5,brep3,27,4,A15_quant,Dusk
Nipponbare,6,brep1,21,4,A16_quant,Dawn
Nipponbare,6,brep2,21,4,A17_quant,Dawn
Nipponbare,6,brep3,21,4,A18_quant,Dawn
Nipponbare,7,brep1,45,5,A19_quant,Dusk
Nipponbare,7,brep2,45,5,A20_quant,Dusk
Nipponbare,7,brep3,45,5,A21_quant,Dusk
Nipponbare,8,brep1,35,5,A22_quant,Dawn
Nipponbare,8,brep2,35,5,A23_quant,Dawn
Nipponbare,8,brep3,35,5,A24_quant,Dawn
N22,1,brep1,27,1,B1_quant,Dusk
N22,1,brep2,27,1,B2_quant,Dusk
N22,1,brep3,27,1,B3_quant,Dusk
N22,2,brep1,21,1,B4_quant,Dawn
N22,2,brep2,21,1,B5_quant,Dawn
N22,2,brep3,21,1,B6B_quant,Dawn
N22,3,brep1,35,2,B7_quant,Dusk
N22,3,brep2,35,2,B8_quant,Dusk
N22,3,brep3,35,2,B9_quant,Dusk
N22,4,brep1,27,2,B10_quant,Dawn
N22,4,brep2,27,2,B11_quant,Dawn
N22,4,brep3,27,2,B12_quant,Dawn
N22,5,brep1,27,4,B13_quant,Dusk
N22,5,brep2,27,4,B14_quant,Dusk
N22,5,brep3,27,4,B15_quant,Dusk
N22,6,brep1,21,4,B16_quant,Dawn
N22,6,brep2,21,4,B17_quant,Dawn
N22,6,brep3,21,4,B18_quant,Dawn
N22,7,brep1,45,5,B19_quant,Dusk
N22,7,brep2,45,5,B20_quant,Dusk
N22,7,brep3,45,5,B21_quant,Dusk
N22,8,brep1,35,5,B22_quant,Dawn
N22,8,brep2,35,5,B23_quant,Dawn
N22,8,brep3,35,5,B24_quant,Dawn
